origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V7_1,V7_0,0.532,1.0,0.532,conexion-vial-cercana
V7_1,V11_0,0.632,1.0,0.632,conexion-vial-cercana
V7_1,V16_0,0.632,1.0,0.632,conexion-vial-cercana
V7_1,V16_1,0.657,1.0,0.657,conexion-vial-cercana
V7_1,V17_2,0.661,1.0,0.661,conexion-vial-cercana
V7_1,V17_1,0.663,1.0,0.663,conexion-vial-cercana
V7_1,V16_2,0.671,1.0,0.671,conexion-vial-cercana
V7_1,V17_0,0.676,1.0,0.676,conexion-vial-cercana
V7_2,V22_2,0.142,1.0,0.142,conexion-vial-cercana
V7_2,V23_0,0.142,1.0,0.142,conexion-vial-cercana
V7_2,V22_0,0.147,1.0,0.147,conexion-vial-cercana
V7_2,V22_1,0.147,1.0,0.147,conexion-vial-cercana
V7_2,V8_0,0.15,1.0,0.15,conexion-vial-cercana
V7_2,V24_0,0.157,1.0,0.157,conexion-vial-cercana
V7_2,V18_0,0.161,1.0,0.161,conexion-vial-cercana
V7_2,V21_2,0.161,1.0,0.161,conexion-vial-cercana
V8_0,V22_2,0.012,1.0,0.012,conexion-vial-cercana
V8_0,V23_0,0.012,1.0,0.012,conexion-vial-cercana
V8_0,V18_0,0.013,1.0,0.013,conexion-vial-cercana
V8_0,V21_2,0.013,1.0,0.013,conexion-vial-cercana
V8_0,V22_0,0.025,1.0,0.025,conexion-vial-cercana
V8_0,V22_1,0.025,1.0,0.025,conexion-vial-cercana
V8_0,V9_2,0.04,1.0,0.04,conexion-vial-cercana
V8_0,V21_0,0.04,1.0,0.04,conexion-vial-cercana
V8_1,V10_2,0.086,1.0,0.086,conexion-vial-cercana
V8_1,V9_2,0.091,1.0,0.091,conexion-vial-cercana
V8_1,V21_0,0.091,1.0,0.091,conexion-vial-cercana
V8_1,V21_1,0.091,1.0,0.091,conexion-vial-cercana
V8_1,V22_0,0.115,1.0,0.115,conexion-vial-cercana
V8_1,V22_1,0.115,1.0,0.115,conexion-vial-cercana
V8_1,V18_0,0.116,1.0,0.116,conexion-vial-cercana
V8_1,V21_2,0.116,1.0,0.116,conexion-vial-cercana
V8_2,V8_1,0.202,1.0,0.202,conexion-vial-cercana
V8_2,V9_1,0.231,1.0,0.231,conexion-vial-cercana
V8_2,V9_0,0.24,1.0,0.24,conexion-vial-cercana
V8_2,V10_1,0.251,1.0,0.251,conexion-vial-cercana
V8_2,V10_0,0.255,1.0,0.255,conexion-vial-cercana
V8_2,V10_2,0.285,1.0,0.285,conexion-vial-cercana
V8_2,V9_2,0.291,1.0,0.291,conexion-vial-cercana
V8_2,V21_0,0.291,1.0,0.291,conexion-vial-cercana
V9_0,V10_0,0.015,1.0,0.015,conexion-vial-cercana
V9_0,V9_1,0.043,1.0,0.043,conexion-vial-cercana
V9_0,V10_1,0.09,1.0,0.09,conexion-vial-cercana
V9_0,V13_0,0.11,1.0,0.11,conexion-vial-cercana
V9_0,V12_2,0.142,1.0,0.142,conexion-vial-cercana
V9_0,V12_1,0.159,1.0,0.159,conexion-vial-cercana
V9_0,V11_2,0.165,1.0,0.165,conexion-vial-cercana
V9_0,V12_0,0.174,1.0,0.174,conexion-vial-cercana
V9_1,V9_0,0.043,1.0,0.043,conexion-vial-cercana
V9_1,V10_0,0.048,1.0,0.048,conexion-vial-cercana
V9_1,V10_1,0.05,1.0,0.05,conexion-vial-cercana
V9_1,V13_0,0.146,1.0,0.146,conexion-vial-cercana
V9_1,V8_1,0.147,1.0,0.147,conexion-vial-cercana
V9_1,V10_2,0.158,1.0,0.158,conexion-vial-cercana
V9_1,V9_2,0.168,1.0,0.168,conexion-vial-cercana
V9_1,V21_0,0.168,1.0,0.168,conexion-vial-cercana
V9_2,V21_0,0.0,1.0,0.0,conexion-vial-cercana
V9_2,V21_1,0.0,1.0,0.0,conexion-vial-cercana
V9_2,V10_2,0.01,1.0,0.01,conexion-vial-cercana
V9_2,V22_0,0.024,1.0,0.024,conexion-vial-cercana
V9_2,V22_1,0.024,1.0,0.024,conexion-vial-cercana
V9_2,V8_0,0.04,1.0,0.04,conexion-vial-cercana
V9_2,V18_0,0.042,1.0,0.042,conexion-vial-cercana
V9_2,V21_2,0.042,1.0,0.042,conexion-vial-cercana
V10_0,V9_0,0.015,1.0,0.015,conexion-vial-cercana
V10_0,V9_1,0.048,1.0,0.048,conexion-vial-cercana
V10_0,V10_1,0.091,1.0,0.091,conexion-vial-cercana
V10_0,V13_0,0.099,1.0,0.099,conexion-vial-cercana
V10_0,V12_2,0.13,1.0,0.13,conexion-vial-cercana
V10_0,V12_1,0.146,1.0,0.146,conexion-vial-cercana
V10_0,V11_2,0.152,1.0,0.152,conexion-vial-cercana
